,Made Donation in March 2007
659,0.637568
276,0.069613
263,0.161117
303,0.151076
83,0.205501
500,0.673706
530,0.290412
244,0.0513621
249,0.0420756
728,0.0168208
129,0.285008
534,0.0577864
317,0.152702
401,0.161117
696,0.138379
192,0.0191443
176,0.0361737
571,0.297467
139,0.283896
423,0.276433
563,0.727074
56,0.365856
528,0.169749
101,0.161117
467,0.248955
382,0.282613
466,0.458632
294,0.0513621
512,0.1963
659,0.637568
389,0.252165
487,0.0776927
701,0.186204
419,0.0409024
536,0.122688
240,0.0287615
508,0.243077
515,0.0513621
283,0.293821
650,0.161117
65,0.344216
228,0.0283086
741,0.0201606
297,0.458452
464,0.0412149
63,0.186204
231,0.323787
28,0.0432149
248,0.0513621
357,0.0428124
300,0.48659
726,0.686992
680,0.128985
520,0.338448
254,0.0252742
582,0.314656
143,0.112108
98,0.668398
1,0.296012
221,0.472981
352,0.161117
64,0.0339487
138,0.449325
745,0.283102
64,0.0339487
688,0.027676
623,0.0441346
289,0.31515
174,0.224033
690,0.161117
105,0.0347666
427,0.0683891
48,0.109831
14,0.161117
657,0.0647758
301,0.0577864
455,0.0416149
579,0.11893
722,0.00916194
98,0.668398
491,0.109831
303,0.151076
466,0.458632
65,0.344216
300,0.48659
9,0.125021
622,0.0191443
323,0.0283299
289,0.31515
568,0.220777
290,0.161117
156,0.0905554
464,0.0412149
426,0.130265
306,0.0537333
4,0.238325
12,0.467095
187,0.145051
406,0.158965
96,0.290412
509,0.186204
733,0.0523372
548,0.0098295
478,0.225759
501,0.125569
127,0.617308
199,0.243077
299,0.626375
162,0.161117
235,0.329484
23,0.0814276
473,0.161117
487,0.0776927
683,0.352457
303,0.151076
309,0.0408878
569,0.1862
34,0.233683
686,0.404547
84,0.18787
733,0.0523372
537,0.266966
181,0.0454073
453,0.493922
67,0.614307
161,0.368828
307,0.188202
703,0.13715
181,0.0454073
246,0.293502
316,0.522578
278,0.0191443
346,0.203617
545,0.161117
419,0.0409024
694,0.290412
622,0.0191443
663,0.0842241
262,0.609559
461,0.365864
373,0.734645
233,0.161117
466,0.458632
207,0.112108
263,0.161117
16,0.1862
513,0.00905451
449,0.408028
429,0.0285021
701,0.186204
632,0.0483935
529,0.660108
245,0.14568
344,0.0314086
353,0.367025
241,0.365967
633,0.0139637
624,0.186204
726,0.686992
189,0.0191443
138,0.449325
402,0.0513621
511,0.33691
590,0.318316
334,0.214836
447,0.021524
119,0.458632
389,0.252165
644,0.161117
423,0.276433
131,0.1862
405,0.106187
82,0.161117
643,0.83845
156,0.0905554
617,0.0184295
574,0.546557
272,0.240062
613,0.0348607
545,0.161117
685,0.0513621
570,0.0324999
537,0.266966
691,0.0139637
85,0.56502
483,0.293502
455,0.0416149
93,0.0191443
744,0.186204
33,0.293502
321,0.612586
523,0.0663307
426,0.130265
196,0.0740527
301,0.0577864
103,0.0139637
224,0.133475
454,0.194351
585,0.0185186
154,0.0761721
