,Made Donation in March 2007
659,0.739315
276,0.379613
263,0.317494
303,0.328152
83,0.559987
500,0.63586
530,0.68596
244,0.176228
249,0.0637275
728,0.269389
129,0.451336
534,0.310499
317,0.448759
401,0.317494
696,0.566398
192,0.194197
176,0.293985
571,0.50426
139,0.373408
423,0.59781
563,0.735177
56,0.559329
528,0.540458
101,0.317494
467,0.761892
382,0.449936
466,0.867123
294,0.176228
512,0.761101
659,0.739315
389,0.44656
487,0.373408
701,0.401447
419,0.429143
536,0.290745
240,0.286528
508,0.562084
515,0.176228
283,0.559215
650,0.317494
65,0.852902
228,0.237401
741,0.270575
297,0.744314
464,0.255253
63,0.401447
231,0.76564
28,0.251896
248,0.176228
357,0.248771
300,0.593696
726,0.449936
680,0.337532
520,0.563182
254,0.145268
582,0.378398
143,0.546505
98,0.800318
1,0.738828
221,0.588531
352,0.317494
64,0.105827
138,0.438241
745,0.546773
64,0.105827
688,0.0683619
623,0.351279
289,0.371153
174,0.491747
690,0.317494
105,0.29406
427,0.320029
48,0.077562
14,0.317494
657,0.433594
301,0.31795
455,0.248771
579,0.446267
722,0.237434
98,0.800318
491,0.077562
303,0.328152
466,0.867123
65,0.852902
300,0.593696
9,0.270682
622,0.194197
323,0.0713043
289,0.371153
568,0.744314
290,0.317494
156,0.184575
464,0.255253
426,0.254565
306,0.260256
4,0.360341
12,0.643257
187,0.310587
406,0.374366
96,0.68596
509,0.401447
733,0.310587
548,0.346426
478,0.434424
501,0.293723
127,0.886868
199,0.270999
299,0.757407
162,0.317494
235,0.460156
23,0.362652
473,0.317494
487,0.373408
683,0.559215
303,0.328152
309,0.428509
569,0.124065
34,0.559215
686,0.596373
84,0.677466
733,0.310587
537,0.566398
181,0.294491
453,0.546773
67,0.739315
161,0.546799
307,0.582474
703,0.34481
181,0.294491
246,0.283323
316,0.613561
278,0.194197
346,0.498372
545,0.317494
419,0.429143
694,0.68596
622,0.194197
663,0.337214
262,0.746135
461,0.546799
373,0.546505
233,0.317494
466,0.867123
207,0.546505
263,0.317494
16,0.124065
513,0.349368
449,0.562476
429,0.367655
701,0.401447
632,0.145806
529,0.818776
245,0.294393
344,0.260256
353,0.470265
241,0.398159
633,0.151371
624,0.401447
726,0.449936
189,0.194197
138,0.438241
402,0.176228
511,0.643257
590,0.572218
334,0.739315
447,0.304693
119,0.867123
389,0.44656
644,0.317494
423,0.59781
131,0.124065
405,0.0715747
82,0.317494
643,0.546799
156,0.184575
617,0.379613
574,0.891953
272,0.546799
613,0.0735199
545,0.317494
685,0.176228
570,0.294393
537,0.566398
691,0.151371
85,0.599442
483,0.283323
455,0.248771
93,0.194197
744,0.401447
33,0.283323
321,0.429143
523,0.512008
426,0.254565
196,0.0737445
301,0.31795
103,0.151371
224,0.210978
454,0.413127
585,0.127609
154,0.436934
