,Made Donation in March 2007
659,0.433361
276,0.144375
263,0.211286
303,0.285692
83,0.38772
500,0.566963
530,0.201244
244,0.141468
249,0.0977925
728,0.17551
129,0.161888
534,0.240756
317,0.382283
401,0.211286
696,0.266877
192,0.162793
176,0.214076
571,0.393897
139,0.215455
423,0.280428
563,0.333482
56,0.298709
528,0.292042
101,0.211286
467,0.282353
382,0.440701
466,0.254243
294,0.141468
512,0.247186
659,0.433361
389,0.455278
487,0.137451
701,0.206809
419,0.322919
536,0.246594
240,0.227401
508,0.269146
515,0.141468
283,0.293529
650,0.211286
65,0.220865
228,0.173521
741,0.181767
297,0.303373
464,0.16103
63,0.206809
231,0.252184
28,0.161899
248,0.141468
357,0.177884
300,0.472654
726,0.626271
680,0.166355
520,0.30085
254,0.0962863
582,0.251872
143,0.353151
98,0.249502
1,0.295322
221,0.495165
352,0.211286
64,0.177736
138,0.355383
745,0.462598
64,0.177736
688,0.137175
623,0.222397
289,0.256382
174,0.32745
690,0.211286
105,0.208634
427,0.15064
48,0.0394738
14,0.211286
657,0.110464
301,0.24113
455,0.16022
579,0.39708
722,0.154593
98,0.249502
491,0.0394738
303,0.285692
466,0.254243
65,0.220865
300,0.472654
9,0.0995701
622,0.162793
323,0.136979
289,0.256382
568,0.29057
290,0.211286
156,0.247707
464,0.16103
426,0.133717
306,0.230983
4,0.288966
12,0.27613
187,0.313269
406,0.144384
96,0.201244
509,0.206809
733,0.226761
548,0.113364
478,0.250233
501,0.171685
127,0.266143
199,0.336413
299,0.39653
162,0.211286
235,0.142435
23,0.189107
473,0.211286
487,0.137451
683,0.320286
303,0.285692
309,0.103282
569,0.0896829
34,0.306745
686,0.459621
84,0.264814
733,0.226761
537,0.330954
181,0.197468
453,0.722334
67,0.398165
161,0.521402
307,0.303713
703,0.16705
181,0.197468
246,0.146672
316,0.29106
278,0.162793
346,0.177469
545,0.211286
419,0.322919
694,0.201244
622,0.162793
663,0.191469
262,0.428914
461,0.448846
373,0.809931
233,0.211286
466,0.254243
207,0.353151
263,0.211286
16,0.0896829
513,0.102042
449,0.283831
429,0.104043
701,0.206809
632,0.107259
529,0.34922
245,0.254651
344,0.17531
353,0.141373
241,0.413357
633,0.128322
624,0.206809
726,0.626271
189,0.162793
138,0.355383
402,0.141468
511,0.287958
590,0.245251
334,0.284858
447,0.148406
119,0.254243
389,0.455278
644,0.211286
423,0.280428
131,0.0896829
405,0.0352643
82,0.211286
643,0.885791
156,0.247707
617,0.113759
574,0.253441
272,0.448291
613,0.17894
545,0.211286
685,0.141468
570,0.207806
537,0.330954
691,0.128322
85,0.487441
483,0.146672
455,0.16022
93,0.162793
744,0.206809
33,0.146672
321,0.60773
523,0.233302
426,0.133717
196,0.152117
301,0.24113
103,0.128322
224,0.105158
454,0.140915
585,0.0953419
154,0.392805
