,Made Donation in March 2007
659,0.927445
276,0.16551
263,0.0939808
303,0.0103268
83,0.212538
500,0.755967
530,0.308985
244,0.0101393
249,0.0023847
728,0.000140094
129,0.947957
534,0.00187548
317,0.20868
401,0.0939808
696,0.945852
192,0.194756
176,0.00124077
571,0.229266
139,0.00164178
423,0.0445641
563,0.958558
56,0.596144
528,0.396976
101,0.0939808
467,0.0750629
382,0.194952
466,0.356456
294,0.0101393
512,0.15945
659,0.927445
389,0.209102
487,0.0390523
701,0.175337
419,0.0172492
536,0.267103
240,0.00128921
508,0.151955
515,0.0101393
283,0.0392454
650,0.0939808
65,0.524244
228,0.646894
741,0.0395371
297,0.0447897
464,0.0101975
63,0.175337
231,0.162922
28,0.081804
248,0.0101393
357,0.0388394
300,0.388594
726,0.994823
680,0.0653231
520,0.844978
254,0.00212015
582,0.218264
143,0.0245653
98,0.93102
1,0.0355605
221,0.140734
352,0.0939808
64,0.0660037
138,0.097479
745,0.132725
64,0.0660037
688,0.00141157
623,0.0016922
289,0.0198312
174,0.417033
690,0.0939808
105,0.153629
427,0.0146765
48,0.00566984
14,0.0939808
657,0.00313634
301,0.00187548
455,0.0620825
579,0.333508
722,0.0671756
98,0.93102
491,0.00566984
303,0.0103268
466,0.356456
65,0.524244
300,0.388594
9,0.0784645
622,0.194756
323,0.00466439
289,0.0198312
568,0.0767581
290,0.0939808
156,0.0931174
464,0.0101975
426,0.0212875
306,0.00761077
4,0.0506798
12,0.09245
187,0.00917356
406,0.02507
96,0.308985
509,0.175337
733,0.000270624
548,0.0245165
478,0.382833
501,0.0776218
127,0.814134
199,0.0331953
299,0.978894
162,0.0939808
235,0.0379084
23,0.00588671
473,0.0939808
487,0.0390523
683,0.938522
303,0.0103268
309,0.00476388
569,0.0666163
34,0.619503
686,0.968707
84,0.00110459
733,0.000270624
537,0.534106
181,0.107672
453,0.473903
67,0.795608
161,0.282518
307,0.00450332
703,0.0576744
181,0.107672
246,0.153918
316,0.071445
278,0.194756
346,0.791497
545,0.0939808
419,0.0172492
694,0.308985
622,0.194756
663,0.00637676
262,0.943226
461,0.036523
373,0.480959
233,0.0939808
466,0.356456
207,0.0245653
263,0.0939808
16,0.0666163
513,0.00666926
449,0.701048
429,0.000458342
701,0.175337
632,0.00812515
529,0.0893519
245,0.0196026
344,0.502803
353,0.403658
241,0.252353
633,0.00161774
624,0.175337
726,0.994823
189,0.194756
138,0.097479
402,0.0101393
511,0.0136885
590,0.106191
334,0.690919
447,0.018611
119,0.356456
389,0.209102
644,0.0939808
423,0.0445641
131,0.0666163
405,0.0141856
82,0.0939808
643,0.503606
156,0.0931174
617,0.00684057
574,0.555469
272,0.030457
613,0.00774864
545,0.0939808
685,0.0101393
570,0.0221337
537,0.534106
691,0.00161774
85,0.558024
483,0.153918
455,0.0620825
93,0.194756
744,0.175337
33,0.153918
321,0.63993
523,0.461135
426,0.0212875
196,0.0280593
301,0.00187548
103,0.00161774
224,0.058251
454,0.0308456
585,0.00707194
154,0.00513646
